geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US13089020100,"Census Tract 201, DeKalb, GA",2141,149,2017,167,1934,177,36,26,0,13,20,17,0,13,0,13,27,26,0,13,27,26,124,65,102,60,0,13,0,13,6,9,0,13,5,8,11,17,0,13,11,17
14000US13089020200,"Census Tract 202, DeKalb, GA",1899,208,1806,204,1412,182,208,127,0,13,134,73,0,13,0,13,52,48,0,13,52,48,93,83,93,83,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13089020300,"Census Tract 203, DeKalb, GA",4283,349,4159,335,3779,318,166,98,0,13,66,43,0,13,0,13,148,89,0,13,148,89,124,87,56,50,0,13,22,37,0,13,0,13,0,13,46,53,0,13,46,53
14000US13089020400,"Census Tract 204, DeKalb, GA",2585,228,2551,228,2174,268,93,73,0,13,212,98,0,13,0,13,72,81,0,13,72,81,34,40,5,7,5,8,0,13,0,13,0,13,0,13,24,40,0,13,24,40
14000US13089020500,"Census Tract 205, DeKalb, GA",3246,354,3136,390,1251,251,1672,370,13,20,93,72,0,13,10,15,97,60,0,13,97,60,110,92,34,28,0,13,0,13,0,13,0,13,58,81,18,17,5,8,13,15
14000US13089020600,"Census Tract 206, DeKalb, GA",1927,352,1846,352,701,188,961,366,17,28,15,21,0,13,0,13,152,149,0,13,152,149,81,52,32,27,28,41,12,19,0,13,0,13,9,14,0,13,0,13,0,13
14000US13089020700,"Census Tract 207, DeKalb, GA",2351,250,2305,245,1348,181,832,257,0,13,34,26,0,13,28,45,63,43,0,13,63,43,46,30,42,29,0,13,0,13,0,13,0,13,4,7,0,13,0,13,0,13
14000US13089020801,"Census Tract 208.01, DeKalb, GA",2641,294,2620,294,1560,219,772,197,0,13,32,34,0,13,0,13,256,143,0,13,256,143,21,21,14,16,0,13,0,13,0,13,0,13,7,12,0,13,0,13,0,13
14000US13089020802,"Census Tract 208.02, DeKalb, GA",4627,478,4548,484,1666,224,2485,470,0,13,150,129,0,13,36,57,211,143,85,129,126,83,79,51,70,56,0,13,0,13,9,15,0,13,0,13,0,13,0,13,0,13
14000US13089020900,"Census Tract 209, DeKalb, GA",5791,635,5600,645,2729,352,2667,652,0,19,88,84,0,19,0,19,116,92,14,25,102,88,191,127,191,127,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
14000US13089021415,"Census Tract 214.15, DeKalb, GA",3773,336,3212,342,2592,341,165,103,20,35,369,92,0,13,0,13,66,49,12,20,54,45,561,208,310,180,6,9,30,49,5,7,0,13,157,145,53,51,44,50,9,10
14000US13089022401,"Census Tract 224.01, DeKalb, GA",3736,350,3559,371,2997,381,291,152,6,11,186,136,0,13,0,13,79,106,0,13,79,106,177,109,138,103,15,23,0,13,0,13,0,13,0,13,24,38,0,13,24,38
14000US13089022402,"Census Tract 224.02, DeKalb, GA",6725,603,6222,545,3066,353,1113,234,0,19,1754,301,0,19,19,27,270,91,38,46,232,96,503,166,388,132,19,26,0,19,47,69,0,19,23,25,26,29,19,27,7,11
14000US13089023601,"Census Tract 236.01, DeKalb, GA",3337,398,3323,397,1120,222,2122,358,31,42,41,48,0,13,0,13,9,15,0,13,9,15,14,14,14,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13089023700,"Census Tract 237, DeKalb, GA",6527,712,6427,713,918,265,5142,710,41,65,24,28,1,2,55,90,246,240,0,19,246,240,100,77,49,56,0,19,0,19,0,19,0,19,24,37,27,40,1,3,26,40
14000US13089980000,"Census Tract 9800, DeKalb, GA",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121000100,"Census Tract 1, Fulton, GA",5373,424,5188,423,4763,468,134,114,0,19,73,46,0,19,0,19,218,200,0,19,218,200,185,109,125,88,11,16,0,19,0,19,0,19,49,60,0,19,0,19,0,19
14000US13121000200,"Census Tract 2, Fulton, GA",6291,430,5942,416,5336,387,226,115,0,19,209,126,0,19,0,19,171,126,0,19,171,126,349,159,278,155,0,19,0,19,0,19,0,19,30,37,41,48,41,48,0,19
14000US13121000400,"Census Tract 4, Fulton, GA",1910,234,1853,232,1473,238,300,197,0,13,57,51,0,13,0,13,23,25,0,13,23,25,57,38,50,38,7,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121000500,"Census Tract 5, Fulton, GA",5317,680,4978,664,3263,647,1154,388,0,19,295,121,12,18,0,19,254,271,0,19,254,271,339,192,178,147,56,67,0,19,0,19,0,19,93,111,12,22,0,19,12,22
14000US13121000600,"Census Tract 6, Fulton, GA",7646,860,7207,853,3702,624,1269,377,0,19,1959,469,15,21,58,94,204,100,0,19,204,100,439,152,270,111,70,56,8,15,0,19,0,19,83,55,8,16,0,19,8,16
14000US13121000700,"Census Tract 7, Fulton, GA",3414,234,3204,229,830,139,2207,255,33,25,34,25,8,15,0,13,92,51,0,13,92,51,210,74,99,64,27,23,0,13,0,13,0,13,38,28,46,27,8,13,38,23
14000US13121001001,"Census Tract 10.01, Fulton, GA",2766,361,2630,321,1422,165,350,143,4,8,732,267,0,13,0,13,122,57,10,15,112,59,136,71,72,50,11,14,6,13,0,13,0,13,31,25,16,26,16,26,0,13
14000US13121001002,"Census Tract 10.02, Fulton, GA",7063,489,6505,491,3220,332,1558,236,19,26,1479,238,0,19,32,34,197,68,0,19,197,68,558,122,281,86,90,45,54,37,0,19,0,19,76,48,57,41,34,32,23,22
14000US13121001100,"Census Tract 11, Fulton, GA",4554,432,4345,434,3380,435,272,147,52,54,460,201,0,13,16,25,165,122,15,25,150,119,209,148,105,90,0,13,0,13,0,13,0,13,43,48,61,121,0,13,61,121
14000US13121001201,"Census Tract 12.01, Fulton, GA",4265,318,4096,319,3028,367,611,312,2,8,326,180,0,13,0,13,129,133,0,13,129,133,169,105,104,82,8,14,0,13,0,13,0,13,57,72,0,13,0,13,0,13
14000US13121001202,"Census Tract 12.02, Fulton, GA",4597,437,4289,400,3013,321,764,331,29,29,306,140,0,13,87,66,90,67,0,13,90,67,308,140,193,133,0,13,0,13,0,13,0,13,96,69,19,32,19,32,0,13
14000US13121001300,"Census Tract 13, Fulton, GA",4356,564,4007,562,2618,329,1077,444,0,13,202,197,0,13,30,49,80,64,0,13,80,64,349,130,264,125,5,10,0,13,15,24,0,13,22,34,43,48,0,13,43,48
14000US13121001400,"Census Tract 14, Fulton, GA",2514,273,2451,266,2161,295,88,91,0,13,93,44,0,13,10,16,99,66,0,13,99,66,63,32,38,24,0,13,0,13,0,13,0,13,25,28,0,13,0,13,0,13
14000US13121001500,"Census Tract 15, Fulton, GA",4649,506,4293,440,3626,376,364,231,0,13,136,99,0,13,0,13,167,113,0,13,167,113,356,364,312,362,3,7,0,13,0,13,0,13,37,61,4,7,4,7,0,13
14000US13121001600,"Census Tract 16, Fulton, GA",2172,273,2103,269,1789,258,154,88,0,13,134,96,0,13,0,13,26,26,0,13,26,26,69,39,44,34,0,13,0,13,10,16,0,13,8,13,7,11,0,13,7,11
14000US13121001700,"Census Tract 17, Fulton, GA",4414,399,4193,409,2358,385,1668,282,0,13,108,73,0,13,13,20,46,45,0,13,46,45,221,121,132,82,69,80,0,13,0,13,0,13,20,31,0,13,0,13,0,13
14000US13121001800,"Census Tract 18, Fulton, GA",4215,487,4030,493,1844,288,1845,496,0,13,261,176,0,13,0,13,80,83,0,13,80,83,185,96,74,55,38,52,0,13,0,13,0,13,63,51,10,19,0,13,10,19
14000US13121001900,"Census Tract 19, Fulton, GA",5060,523,4773,536,2148,343,1640,373,13,15,797,165,11,23,0,19,164,71,0,19,164,71,287,107,151,81,0,19,30,32,0,19,0,19,33,38,73,46,31,20,42,36
14000US13121002100,"Census Tract 21, Fulton, GA",2463,334,2384,335,680,179,1500,304,0,13,183,106,0,13,0,13,21,21,0,13,21,21,79,59,43,47,29,31,0,13,0,13,0,13,7,14,0,13,0,13,0,13
14000US13121002300,"Census Tract 23, Fulton, GA",1459,300,1456,300,109,83,1318,280,0,13,0,13,0,13,0,13,29,22,0,13,29,22,3,6,0,13,0,13,0,13,0,13,0,13,0,13,3,6,3,6,0,13
14000US13121002400,"Census Tract 24, Fulton, GA",2868,413,2845,413,118,85,2701,414,0,13,0,13,0,13,8,15,18,20,0,13,18,20,23,31,19,30,0,13,0,13,0,13,0,13,0,13,4,6,4,6,0,13
14000US13121002500,"Census Tract 25, Fulton, GA",2438,369,2375,366,127,93,2173,356,5,7,13,13,0,13,16,26,41,28,12,13,29,25,63,34,23,21,20,19,0,13,0,13,0,13,20,24,0,13,0,13,0,13
14000US13121002600,"Census Tract 26, Fulton, GA",1565,356,1542,347,14,18,1462,356,0,13,22,32,0,13,38,38,6,13,0,13,6,13,23,56,4,6,19,56,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121002800,"Census Tract 28, Fulton, GA",5188,341,4826,342,1370,188,2969,347,11,22,324,118,0,19,35,42,117,70,7,9,110,69,362,96,214,67,46,41,10,22,0,19,0,19,22,17,70,49,35,29,35,33
14000US13121002900,"Census Tract 29, Fulton, GA",2518,292,2412,295,1142,210,1043,287,0,13,147,82,0,13,0,13,80,47,0,13,80,47,106,84,75,57,0,13,0,13,0,13,0,13,31,50,0,13,0,13,0,13
14000US13121003000,"Census Tract 30, Fulton, GA",3540,247,3424,246,2879,299,259,149,0,13,192,117,0,13,27,29,67,43,0,13,67,43,116,68,74,55,12,18,0,13,0,13,0,13,4,9,26,34,5,12,21,32
14000US13121003100,"Census Tract 31, Fulton, GA",2026,219,1928,216,1250,201,645,194,0,13,3,5,0,13,0,13,30,26,12,17,18,20,98,53,68,45,0,13,0,13,0,13,0,13,14,17,16,19,5,9,11,17
14000US13121003200,"Census Tract 32, Fulton, GA",2316,207,2171,223,1821,265,144,90,0,13,32,27,0,13,0,13,174,169,0,13,174,169,145,99,100,78,13,20,0,13,0,13,0,13,19,30,13,15,13,15,0,13
14000US13121003500,"Census Tract 35, Fulton, GA",2022,404,1933,378,698,165,1151,307,9,17,18,18,0,13,0,13,57,52,0,13,57,52,89,45,41,28,38,36,0,13,0,13,0,13,0,13,10,18,0,13,10,18
14000US13121003600,"Census Tract 36, Fulton, GA",1498,244,1483,252,135,58,1183,221,0,13,14,18,0,13,0,13,151,93,0,13,151,93,15,23,15,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121003700,"Census Tract 37, Fulton, GA",148,76,148,76,0,13,148,76,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121003800,"Census Tract 38, Fulton, GA",4075,570,3831,580,657,192,2828,624,0,13,270,98,0,13,16,22,60,49,0,13,60,49,244,90,155,69,36,34,22,28,0,13,0,13,8,17,23,36,0,13,23,36
14000US13121003900,"Census Tract 39, Fulton, GA",2414,404,2380,405,7,10,2373,407,0,13,0,13,0,13,0,13,0,13,0,13,0,13,34,36,0,13,0,13,0,13,0,13,0,13,34,36,0,13,0,13,0,13
14000US13121004000,"Census Tract 40, Fulton, GA",2323,318,2282,325,72,46,2178,341,0,13,19,18,0,13,5,7,8,13,0,13,8,13,41,32,0,13,22,24,0,13,0,13,0,13,19,21,0,13,0,13,0,13
14000US13121004100,"Census Tract 41, Fulton, GA",2135,359,2123,358,218,103,1859,352,0,13,0,13,0,13,0,13,46,59,0,13,46,59,12,14,5,8,7,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121004200,"Census Tract 42, Fulton, GA",2453,320,2399,319,139,109,2260,314,0,13,0,13,0,13,0,13,0,13,0,13,0,13,54,47,29,38,25,28,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121004300,"Census Tract 43, Fulton, GA",3133,352,3020,358,394,121,2384,388,0,13,169,69,0,13,0,13,73,47,4,7,69,45,113,52,65,44,23,22,0,13,0,13,0,13,25,33,0,13,0,13,0,13
14000US13121004400,"Census Tract 44, Fulton, GA",2654,695,2590,716,114,119,2279,700,0,13,0,13,0,13,0,13,197,204,0,13,197,204,64,104,64,104,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121004800,"Census Tract 48, Fulton, GA",1144,207,1114,205,230,114,760,169,0,13,120,106,0,13,0,13,4,6,0,13,4,6,30,25,0,13,8,9,0,13,0,13,0,13,17,23,5,7,0,13,5,7
14000US13121004900,"Census Tract 49, Fulton, GA",2645,322,2502,311,1414,202,931,243,0,13,56,49,0,13,10,16,91,62,0,13,91,62,143,99,91,67,0,13,0,13,0,13,0,13,0,13,52,81,0,13,52,81
14000US13121005000,"Census Tract 50, Fulton, GA",2021,229,1915,225,1516,203,319,140,2,3,61,38,0,13,0,13,17,15,0,13,17,15,106,52,83,49,10,14,0,13,0,13,0,13,0,13,13,13,0,13,13,13
14000US13121005200,"Census Tract 52, Fulton, GA",5420,453,5027,446,3654,516,1134,425,19,31,179,114,0,19,0,19,41,47,0,19,41,47,393,239,246,144,0,19,7,13,0,19,0,19,140,144,0,19,0,19,0,19
14000US13121005300,"Census Tract 53, Fulton, GA",3713,309,3542,306,2410,250,977,263,0,13,11,19,0,13,8,14,136,101,0,13,136,101,171,80,119,62,0,13,0,13,17,26,11,17,0,13,24,27,24,27,0,13
14000US13121005501,"Census Tract 55.01, Fulton, GA",2349,306,2200,298,379,96,1735,283,0,13,63,35,0,13,0,13,23,21,0,13,23,21,149,89,79,58,36,57,6,10,0,13,0,13,0,13,28,32,0,13,28,32
14000US13121005502,"Census Tract 55.02, Fulton, GA",2887,371,2887,371,217,138,2670,389,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121005700,"Census Tract 57, Fulton, GA",1704,249,1691,247,43,40,1605,253,0,13,6,8,0,13,0,13,37,45,8,12,29,44,13,16,5,8,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121005800,"Census Tract 58, Fulton, GA",1698,278,1684,278,304,110,1287,291,0,13,49,70,0,13,0,13,44,55,0,13,44,55,14,16,0,13,0,13,0,13,0,13,0,13,0,13,14,16,0,13,14,16
14000US13121006000,"Census Tract 60, Fulton, GA",3549,464,3479,467,223,104,3178,499,0,13,37,34,0,13,0,13,41,45,0,13,41,45,70,48,41,41,10,16,9,14,0,13,0,13,10,16,0,13,0,13,0,13
14000US13121006100,"Census Tract 61, Fulton, GA",3824,534,3718,520,49,45,3620,528,0,13,0,13,0,13,0,13,49,55,0,13,49,55,106,138,97,137,9,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121006200,"Census Tract 62, Fulton, GA",1729,202,1718,204,98,77,1603,230,12,19,0,13,0,13,0,13,5,9,0,13,5,9,11,17,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US13121006300,"Census Tract 63, Fulton, GA",1389,223,1375,219,102,80,1204,212,0,13,15,23,0,13,0,13,54,86,0,13,54,86,14,20,0,13,0,13,0,13,0,13,0,13,7,10,7,11,7,11,0,13
